id,nama_resep,bahan_resep,bahan_alergen,daerah_resep,umur_resep
55,Bubur Sup Daging Kacang Merah,"nasi, dayam cincang, telur ayam, buncis, wortel, kacang merah, bawang daun, seledri, kaldu ayam, minyak, bawang merah, bawang putih, jeruk",telur,Indonesia,6-8 Bulan
55,Bubur Sup Daging Kacang Merah,"nasi, dayam cincang, telur ayam, buncis, wortel, kacang merah, bawang daun, seledri, kaldu ayam, minyak, bawang merah, bawang putih, jeruk",kacang,Indonesia,6-8 Bulan
56,Bubur Kanju Rumbi Ayam dan Udang,"nasi, ayam, udang, wortel, jagung pipil, santan, kaldu ayam, daun pandan, bawang merah, bawang putih, kapulaga, ketumbar, kayumanis, cengkeh, merica, jintan, pekak, pala, pepaya",udang,Indonesia,6-8 Bulan
57,Puding Kentang Ayam dan Telur,"kentang, ayam, telur puyuh, tahu, wortel, labu kuning, santan, sereh, daun salam, minyak, kaldu ayam, bawang merah, bawang putih, jeruk",telur,Indonesia,6-8 Bulan
57,Puding Kentang Ayam dan Telur,"kentang, ayam, telur puyuh, tahu, wortel, labu kuning, santan, sereh, daun salam, minyak, kaldu ayam, bawang merah, bawang putih, jeruk",tahu,Indonesia,6-8 Bulan
58,Nasi Tim Ikan Tuna Telur Puyuh,"nasi, ikan tuna, telur puyuh, wortel, tomat, minyak kelapa, kaldu ayam, pepaya, semangka",ikan,Indonesia,9-11 Bulan
58,Nasi Tim Ikan Tuna Telur Puyuh,"nasi, ikan tuna, telur puyuh, wortel, tomat, minyak kelapa, kaldu ayam, pepaya, semangka",telur,Indonesia,9-11 Bulan
59,Nasi Tim Ayam Lele Cincang,"nasi, ayam cincang, ikan lele, wortel, minyak goreng, santan, bawang bombay, kaldu ayam, semangka",ikan,Indonesia,9-11 Bulan
60,Mie Kukus Telur Puyuh,"mie, telur puyuh, wortel, keju, bawang daun, minyak, bumbu mie instant batita, air, pepaya",mie,Indonesia,9-11 Bulan
60,Mie Kukus Telur Puyuh,"mie, telur puyuh, wortel, keju, bawang daun, minyak, bumbu mie instant batita, air, pepaya",keju,Indonesia,9-11 Bulan
60,Mie Kukus Telur Puyuh,"mie, telur puyuh, wortel, keju, bawang daun, minyak, bumbu mie instant batita, air, pepaya",telur,Indonesia,9-11 Bulan
61,Nasi Tim Ikan Telur Sayuran,"nasi, telur puyuh, ikan kembung, sawi hujau, tomat, kaldu ayam, minyak kelapa, semangka",telur,Indonesia,9-11 Bulan
61,Nasi Tim Ikan Telur Sayuran,"nasi, telur puyuh, ikan kembung, sawi hujau, tomat, kaldu ayam, minyak kelapa, semangka",ikan,Indonesia,9-11 Bulan
62,Tim Bubur Manado Daging dan Udang,"nasi, labu kuning, daging sapi, udang, jagung, bayam, minyak goreng, garam, daun bawang, kaldu daging, bawang merah, bawang putih, buah naga",udang,Indonesia,9-11 Bulan
63,Bubur Susu Pertama,"tepung beras putih, air, ASI",tepung,,6-8 Bulan
64,Bubur Susu Sari Kacang Hijau,"tepung beras putih, kacang hijau, air, ASI",tepung,Indonesia,6-8 Bulan
